playerid,total_spent_usd
530803,2275.28
530858,687.62
530893,193.92000000000002
530927,149.92
530928,39.98
530935,629.74
530977,499.82
530979,499.84
530988,253.88
531010,311.88
531031,139.92
531035,635.76
531047,273.84
531048,2173.16
531078,131.88
531098,493.62
531121,757.62
531149,119.96000000000001
531161,459.88
531163,239.86
531180,569.8
531222,259.9
531244,203.88
531245,1437.52
531256,479.82
531327,249.92
531392,1459.12
531393,273.86
531412,503.84
531417,159.92
531451,319.9
531590,315.76
531645,1623.08
531646,123.91999999999999
531658,1959.4
531676,4961.42
531699,159.96
531712,2318.66
531726,209.9
531773,659.72
531852,443.78
531872,11061.16
531885,59.959999999999994
531896,233.92
531936,29.94
531980,1691.24
531995,1379.5
532007,283.88
532075,853.72
532087,1665.28
532121,139.94
532122,483.78000000000003
532133,163.89999999999998
532178,279.92
532187,487.71999999999997
532252,263.82
532265,89.94
532270,319.9
532326,279.88
532353,79.96
532355,189.92000000000002
532380,403.86
532406,343.84
532434,1379.48
532531,599.76
532555,803.6999999999999
532573,183.89999999999998
532653,519.74
532667,319.9
532720,139.94
532847,173.92000000000002
532886,9655.82
532894,21954.26
532905,803.78
532909,23.98
532911,419.88
532915,3559.68
532957,219.9
532971,39.98
533000,3288.6
533034,245.82
533056,709.62
533087,419.82
533105,359.76
533110,2763.58
533115,169.94
533118,219.89999999999998
533165,177.88
533179,159.96
533185,269.84
533191,639.36
533197,499.84
533222,109.92
533277,12354.52
533377,209.84
533397,379.86
533401,483.7
533427,379.85999999999996
533496,1344.58
533568,209.88
533583,1733.3799999999999
533596,189.92
533617,0.0
533674,713.66
533688,203.9
533719,39.98
533737,599.8
533765,109.94
533773,359.82
533780,1541.3799999999999
533840,199.94
533842,39.98
533952,710.36
533954,673.74
533969,503.8
534040,689.76
534058,1267.36
534070,379.85999999999996
534072,99.94
534163,2281.2799999999997
534172,1207.6
534191,247.88
534210,909.68
534237,483.76
534240,379.88
534343,239.92000000000002
534350,199.94
534385,9.98
534488,1657.72
534492,599.82
534517,189.9
534551,459.86
534568,195.85999999999999
534641,513.78
534671,219.9
534695,2493.1
534736,179.94
534760,149.92
534761,319.88
534783,9148.5
534789,163.89999999999998
534846,279.88
534849,583.72
534850,652.76
534854,163.9
534905,313.84
534920,1565.1
534943,183.92
535010,59.959999999999994
535014,1505.32
535029,309.86
535035,3621.7
535049,273.88
535083,199.89999999999998
535101,149.92
535121,99.96
535128,2658.64
535131,10724.7
535154,744.5799999999999
535165,117.92
535170,903.56
535226,13456.08
535246,79.96
535251,293.84
535259,569.78
535282,419.36
535307,2844.36
535354,225.84
535374,167.92000000000002
535375,329.82
535377,463.71999999999997
535415,149.94
535428,29.98
535430,359.82
535458,325.78
535501,28377.67
535528,107.92
535544,221.88
535571,79.96
535575,817.6
535597,629.76
535601,519.86
535677,771.72
535698,2958.58
535699,11960.74
535799,669.76
535808,8204.93
535811,183.88
535978,749.74
536019,1727.38
536121,469.72
536130,303.86
536131,511.71999999999997
536152,287.88
536180,193.88
536188,333.8
536199,651.72
536237,679.78
536270,357.86
536277,107.94
536278,119.94
536289,309.84
536431,79.96
536446,333.71999999999997
536521,671.74
536527,299.86
536547,1019.68
